Year,Lg,Pos,Player,Tm,Player-additional
2025,NFL,ILB,Bobby Wagner,Washington Commanders,WagnBo00
2024,NFL,DE,Arik Armstead,Jacksonville Jaguars,ArmsAr01
2023,NFL,DT,Cameron Heyward,Pittsburgh Steelers,HeywCa01
2022,NFL,QB,Dak Prescott,Dallas Cowboys,PresDa01
2021,NFL,LT,Andrew Whitworth,Los Angeles Rams,WhitAn20
2020,NFL,QB,Russell Wilson,Seattle Seahawks,WilsRu00
2019,NFL,LDE,Calais Campbell,Jacksonville Jaguars,CampCa99
2018,NFL,DE,Chris Long,Philadelphia Eagles,LongCh99
2017,NFL,DE,J.J. Watt,Houston Texans,WattJ.00
2016,NFL,QB,Eli Manning,New York Giants,MannEl00
2016,NFL,WR,Larry Fitzgerald,Arizona Cardinals,FitzLa00
2015,NFL,WR,Anquan Boldin,San Francisco 49ers,BoldAn00
2014,NFL,OLB,Thomas Davis,Carolina Panthers,DaviTh20
2013,NFL,LCB,Charles Tillman,Chicago Bears,TillCh20
2012,NFL,TE,Jason Witten,Dallas Cowboys,WittJa00
2011,NFL,C,Matt Birk,Baltimore Ravens,BirkMa00
2010,NFL,FS,Madieu Williams,Minnesota Vikings,WillMa20
2009,NFL,LG,Brian Waters,Kansas City Chiefs,WateBr55
2008,NFL,QB,Kurt Warner,Arizona Cardinals,WarnKu00
2007,NFL,RDE,Jason Taylor,Miami Dolphins,TaylJa03
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers,TomlLa00
2006,NFL,QB,Drew Brees,New Orleans Saints,BreeDr00
2005,NFL,QB,Peyton Manning,Indianapolis Colts,MannPe00
2004,NFL,RB,Warrick Dunn,Atlanta Falcons,DunnWa00
2003,NFL,RG,Will Shields,Kansas City Chiefs,ShieWi00
2002,NFL,LCB,Troy Vincent,Philadelphia Eagles,VincTr00
2001,NFL,RB,Jerome Bettis,Pittsburgh Steelers,BettJe00
2000,NFL,LDT,Jim Flanigan,Chicago Bears,FlanJi21
2000,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers,BrooDe00
1999,NFL,WR,Cris Carter,Minnesota Vikings,CartCr00
1998,NFL,QB,Dan Marino,Miami Dolphins,MariDa00
1997,NFL,QB,Troy Aikman,Dallas Cowboys,AikmTr00
1996,NFL,RCB,Darrell Green,Washington Redskins,GreeDa00
1995,NFL,QB,Boomer Esiason,New York Jets,EsiaBo00
1994,NFL,RLB,Junior Seau,San Diego Chargers,SeauJu00
1993,NFL,ROLB,Derrick Thomas,Kansas City Chiefs,ThomDe01
1992,NFL,QB,John Elway,Denver Broncos,ElwaJo00
1991,NFL,LT,Anthony Munoz,Cincinnati Bengals,MunoAn00
1990,NFL,MLB,Mike Singletary,Chicago Bears,SingMi00
1989,NFL,QB,Warren Moon,Houston Oilers,MoonWa00
1988,NFL,WR,Steve Largent,Seattle Seahawks,LargSt00
1987,NFL,DB,Dave Duerson,Chicago Bears,DuerDa00
1986,NFL,ROLB,Reggie Williams,Cincinnati Bengals,WillRe20
1985,NFL,C,Dwight Stephenson,Miami Dolphins,StepDw00
1984,NFL,RDT,Marty Lyons,New York Jets,LyonMa20
1983,NFL,K,Rolf Benirschke,San Diego Chargers,benirrol01
1982,NFL,QB,Joe Theismann,Washington Redskins,TheiJo00
1981,NFL,WR,Lynn Swann,Pittsburgh Steelers,SwanLy00
1980,NFL,WR,Harold Carmichael,Philadelphia Eagles,CarmHa00
1979,NFL,LDT,Joe Greene,Pittsburgh Steelers,GreeJo02
1978,NFL,QB,Roger Staubach,Dallas Cowboys,StauRo00
1977,NFL,RB,Walter Payton,Chicago Bears,PaytWa00
1976,NFL,FB,Franco Harris,Pittsburgh Steelers,HarrFr00
1975,NFL,QB,Ken Anderson,Cincinnati Bengals,AndeKe00
1974,NFL,QB,George Blanda,Oakland Raiders,BlanGe00
1973,NFL,QB,Len Dawson,Kansas City Chiefs,DawsLe00
1972,NFL,MLB,Willie Lanier,Kansas City Chiefs,LaniWi00
1971,NFL,QB,John Hadl,San Diego Chargers,HadlJo00
1970,NFL,QB,Johnny Unitas,Baltimore Colts,UnitJo00